Rxn name	Rxn description	Formula	Gene-reaction association	Reversible	LB	UB	Objective
2OXOADOXm	2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)	2oxoadp[m] + coa[m] + nad[m]  -> co2[m] + glutcoa[m] + nadh[m] 	(4967.1) and (1738.1 and 8050.1) and (1743.1) or (4967.2) and (1738.1 and 8050.1) and (1743.1)	0	  0.00	1000.00	  0.00
34DHOXPEGOX	3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase	h[c] + nadh[c] + 34dhmald[c]  <=> nad[c] + 34dhoxpeg[c] 	(130.1) or (127.1) or (125.1 and 124.1) or (131.1) or (126.1 and 124.1) or (128.1) or (137872.1) or (125.1 and 126.1)	1	-1000.00	1000.00	  0.00
34DHOXPEGt	3,4-Dihydroxyphenylethyleneglycol transport (diffusion)	34dhoxpeg[c]  <=> 34dhoxpeg[e] 		1	-1000.00	1000.00	  0.00
34DHPLACOX	3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase	h2o[c] + nad[c] + 34dhpac[c]  -> 2 h[c] + nadh[c] + 34dhpha[c] 	(218.1) or (222.1) or (220.1) or (221.1)	0	  0.00	1000.00	  0.00
34DHPLACOX_NADP_	3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase	h2o[c] + nadp[c] + 34dhpac[c]  <=> 2 h[c] + nadph[c] + 34dhpha[c] 	(222.1) or (221.1) or (218.1)	1	-1000.00	1000.00	  0.00
34DHXMANDACOX	3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase	h2o[c] + nad[c] + 34dhmald[c]  -> 2 h[c] + nadh[c] + 34dhoxmand[c] 	(221.1) or (218.1) or (220.1)	0	  0.00	1000.00	  0.00
34DHXMANDACOX_NADP_	3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase	h2o[c] + nadp[c] + 34dhmald[c]  <=> 2 h[c] + nadph[c] + 34dhoxmand[c] 	(221.1) or (222.1)	1	-1000.00	1000.00	  0.00
3AIBt	3-amino-isobutyrate transport	3aib[c]  -> 3aib[e] 		0	  0.00	1000.00	  0.00
3AIBTm	L-3-aminoisobutyrate transaminase, mitochondrial	2mop[m] + glu_L[m]  <=> akg[m] + 3aib[m] 	(18.1) or (18.2)	1	-1000.00	1000.00	  0.00
3AIBtm	3-amino-isobutyrate transport, mitochondrial	3aib[m]  -> 3aib[c] 	(18.1) or (18.2)	0	  0.00	1000.00	  0.00
3DSPHR	3-Dehydrosphinganine reductase	h[c] + nadph[c] + 3dsphgn[c]  -> nadp[c] + sphgn[c] 	(2531.1)	0	  0.00	1000.00	  0.00
3HBCDm	3-hydroxybutyryl-CoA dehydratase, mitochondrial	h2o[m] + b2coa[m]  <=> 3hbcoa_R[m] 	(55268.1)	1	-1000.00	1000.00	  0.00
3HBCOAHLm	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	h2o[m] + 3hibutcoa[m]  -> h[m] + coa[m] + 3hmp[m] 		0	  0.00	1000.00	  0.00
3HKYNAKGAT	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase	akg[c] + hLkynr[c]  -> 42A3HP24DB[c] + glu_L[c] 	(51166.1) or (883.1) or (51166.2)	0	  0.00	1000.00	  0.00
3MOBt2im	3-methyl-2-oxobutanoate mitochondrial transport via proton symport	h[c] + 3mob[c]  -> h[m] + 3mob[m] 		0	  0.00	1000.00	  0.00
3MOPt2im	3-Methyl-2-oxopentanoate mitochondrial transport via proton symport	h[c] + 3mop[c]  -> h[m] + 3mop[m] 		0	  0.00	1000.00	  0.00
3MOX4HOXPGALDOX	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase	h2o[c] + nad[c] + 3m4hpga[c]  -> 2 h[c] + nadh[c] + 3mox4hoxm[c] 	(222.1) or (220.1) or (221.1) or (218.1)	0	  0.00	1000.00	  0.00
3MOX4HOXPGALDOX_NADP_	3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase	h2o[c] + nadp[c] + 3m4hpga[c]  <=> 2 h[c] + nadph[c] + 3mox4hoxm[c] 	(222.1) or (220.1) or (221.1) or (218.1)	1	-1000.00	1000.00	  0.00
3SALAASPm	cysteinesulfinate-aspartate mitochondrial shuttle	3sala[m] + asp_L[c]  <=> 3sala[c] + asp_L[m] 	(10165.1) or (8604.1)	1	-1000.00	1000.00	  0.00
3SALACBOXL	3-Sulfino-L-alanine carboxy-lyase	2 h[c] + 3sala[c]  -> co2[c] + hyptaur[c] 	(51380.1) or (2571.1) or (2572.1) or (2571.2)	0	  0.00	1000.00	  0.00
3SALAOX	cysteinesulfinic acid oxidase	o2[c] + 2 h[c] + 2 3sala[c]  -> 2 Lcyst[c] 		0	  0.00	1000.00	  0.00
3SALATAi	3-sulfino-alanine transaminase (irreversible)	h[c] + akg[c] + 3sala[c]  -> glu_L[c] + 3snpyr[c] 	(2805.1)	0	  0.00	1000.00	  0.00
3SALATAim	3-sulfino-alanine transaminase (irreversible), mitochondrial	h[m] + akg[m] + 3sala[m]  -> glu_L[m] + 3snpyr[m] 	(2806.1)	0	  0.00	1000.00	  0.00
3SPYRSP	3-sulfinopyruvate hydrolase (spotaneous reaction)	h2o[c] + 3snpyr[c]  -> h[c] + pyr[c] + so3[c] 		0	  0.00	1000.00	  0.00
3SPYRSPm	3-sulfinopyruvate hydrolase (spotaneous reaction), mitochondrial	h2o[m] + 3snpyr[m]  -> h[m] + pyr[m] + so3[m] 		0	  0.00	1000.00	  0.00
41R2A1H12BOOX	4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	h2o[c] + o2[c] + nrpphr[c]  -> h2o2[c] + nh4[c] + 34dhmald[c] 	(4128.1) or (4129.1)	0	  0.00	1000.00	  0.00
4ABUTtm	4-aminobutanoate mitochondrial transport via diffusion	4abut[c]  <=> 4abut[m] 		1	-1000.00	1000.00	  0.00
4HGLSDm	L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial	h2o[m] + nad[m] + 4hglusa[m]  <=> 2 h[m] + nadh[m] + e4hglu[m] 	(8659.1) or (8659.2)	1	  0.00	1000.00	  0.00
4MOPt2im	4-methyl-2-oxopentanoate mitochondrial transport  via proton symport	h[c] + 4mop[c]  -> h[m] + 4mop[m] 		0	  0.00	1000.00	  0.00
4MTOLBUTAMIDEte	xenobiotic transport	4mtolbutamide[e]  <=> 4mtolbutamide[c] 		1	-1000.00	1000.00	  0.00
4NPHSFte	xenobiotic transport	4nphsf[e]  <=> 4nphsf[c] 		1	-1000.00	1000.00	  0.00
4NPHSULT	4-Nitrophenol Sulfotransferase	paps[c] + 4nph[c]  -> h[c] + pap[c] + 4nphsf[c] 	(6799.1) or (6817.3) or (6799.2) or (6818.2) or (6817.2) or (6818.1) or (6817.1) or (6817.4) or (6818.3) or (6817.5)	0	  0.00	1000.00	  0.00
4NPHte	xenobiotic transport	4nph[e]  <=> 4nph[c] 		1	-1000.00	1000.00	  0.00
4PYRDX	4-Pyridoxal secretion	h2o[c] + atp[c] + 4pyrdx[c]  -> adp[c] + h[c] + pi[c] + 4pyrdx[e] 		0	  0.00	1000.00	  0.00
5ADTSTSTERONESte	sulfonated testosterone transport	5adtststerones[c]  <=> 5adtststerones[e] 		1	-1000.00	1000.00	  0.00
5ADTSTSTERONEte	5 alpha dihydrotesterone transport	5adtststerone[e]  <=> 5adtststerone[c] 		1	-1000.00	1000.00	  0.00
5ADTSTSTERONEtr	5 alpha dihydrotesterone intracellular transport	5adtststerone[r]  <=> 5adtststerone[c] 		1	-1000.00	1000.00	  0.00
5AOPtm	5-Aminolevulinate mitochondrial transport	5aop[c]  <=> 5aop[m] 		1	-1000.00	1000.00	  0.00
5DHFtl	5-glutamyl-DHF transport, lysosomal	5dhf[c]  -> 5dhf[l] 		0	  0.00	1000.00	  0.00
5FTHFt2	5-formyltetrahydrofolate transport via anion exchange	h2o[c] + 5fthf[e]  <=> 5fthf[c] + h2o[e] 	(6573.1) or (6573.2)	1	-1000.00	1000.00	  0.00
5HOXINDACTO2OX	5-Hydroxyindoleacetaldehyde:oxygen oxidoreductase	h2o[c] + o2[c] + 5hoxindact[c]  -> h2o2[c] + h[c] + 5hoxindoa[c] 	(316.1)	0	  0.00	1000.00	  0.00
5MTHFt	5-Methyltetrahydrofolate transport via receptor binding and protolysis	5mthf[e]  <=> 5mthf[c] 	(2348.5) or (2348.3) or (2348.1) or (2348.6) or (2352.1) or (2348.4) or (2348.2)	1	-1000.00	1000.00	  0.00
5MTHFt2	5-methyltetrahydrofolate transport via anion exchange	h2o[c] + 5mthf[e]  <=> h2o[e] + 5mthf[c] 	(6573.1) or (6573.2)	1	-1000.00	1000.00	  0.00
5THFtl	5-glutamyl-THF transport, lysosomal	5thf[c]  -> 5thf[l] 		0	  0.00	1000.00	  0.00
5THFtm	5-glutamyl-THF transport,m mitochondrial	5thf[m]  -> 5thf[c] 		0	  0.00	1000.00	  0.00
6DHFtl	6-glutamyl-DHF transport, lysosomal	6dhf[c]  -> 6dhf[l] 		0	  0.00	1000.00	  0.00
6DHFtm	6-glutamyl-DHF transport,m mitochondrial	6dhf[m]  -> 6dhf[c] 		0	  0.00	1000.00	  0.00
6THFtl	6-glutamyl-THF transport, lysosomal	6thf[c]  -> 6thf[l] 		0	  0.00	1000.00	  0.00
6THFtm	6-glutamyl-THF transport,m mitochondrial	6thf[m]  -> 6thf[c] 		0	  0.00	1000.00	  0.00
7DHCHSTEROLtr	cholesterol precursor intracellular transport	7dhchsterol[r]  <=> 7dhchsterol[c] 		1	-1000.00	1000.00	  0.00
7DHFtl	7-glutamyl-DHF transport, lysosomal	7dhf[c]  -> 7dhf[l] 		0	  0.00	1000.00	  0.00
7DHFtm	7-glutamyl-DHF transport,m mitochondrial	7dhf[m]  -> 7dhf[c] 		0	  0.00	1000.00	  0.00
7THFtl	7-glutamyl-THF transport, lysosomal	7thf[c]  -> 7thf[l] 		0	  0.00	1000.00	  0.00
7THFtm	7-glutamyl-THF transport,m mitochondrial	7thf[m]  -> 7thf[c] 		0	  0.00	1000.00	  0.00
A_MANASEly	alpha-mannosidase, lysosomal	2 h2o[l] + m2mn[l]  -> 2 man[l] + mn[l] 	(4125.1)	0	  0.00	1000.00	  0.00
AACOAT	Acetoacetyl-CoA:acetate CoA-transferase	atp[c] + coa[c] + acac[c]  <=> aacoa[c] + amp[c] + ppi[c] 	(65985.1)	1	  0.00	1000.00	  0.00
AASAD3m	L-aminoadipate-semialdehyde dehydrogenase (NADH), mitochondrial	h2o[m] + nad[m] + L2aadp6sa[m]  -> 2 h[m] + L2aadp[m] + nadh[m] 		0	  0.00	1000.00	  0.00
ABTArm	4-aminobutyrate transaminase, reversible (mitochondrial)	akg[m] + 4abut[m]  <=> glu_L[m] + sucsal[m] 	(18.1) or (18.2)	1	-1000.00	1000.00	  0.00
ABTD	L-arabinitol 4-dehydrogenase	nad[c] + abt[c]  <=> h[c] + nadh[c] + xylu_L[c] 		1	-1000.00	1000.00	  0.00
ABTti	L-arabinitol transport via passive diffusion	abt[c]  -> abt[e] 		0	  0.00	1000.00	  0.00
ACACT10m	acetyl-CoA C-acetyltransferase, mitochondrial	coa[m] + 2maacoa[m]  <=> accoa[m] + ppcoa[m] 	(38.1)	1	-1000.00	1000.00	  0.00
ACACT1r	acetyl-CoA C-acetyltransferase	2 accoa[c]  <=> coa[c] + aacoa[c] 	(39.1)	1	-1000.00	1000.00	  0.00
ACACT1rm	acetyl-CoA C-acetyltransferase, mitochondrial	2 accoa[m]  <=> coa[m] + aacoa[m] 	(3030.1) and (3032.1) or (38.1)	1	  0.00	1000.00	  0.00
ACACT1x	acetyl-CoA C-acetyltransferase, mitochondrial	2 accoa[x]  -> aacoa[x] + coa[x] 	(39.1)	0	  0.00	1000.00	  0.00
ACACt2	acetoacetate transport via proton symport	h[e] + acac[e]  <=> h[c] + acac[c] 	(6566.1) or (9194.1)	1	-1000.00	1000.00	  0.00
ACACt2m	Acetoacetate mitochondrial transport via H+ symport	h[c] + acac[c]  <=> h[m] + acac[m] 	(6566.1)	1	-1000.00	1000.00	  0.00
ACACT4p	acetyl-CoA C-acetyltransferase (octanoyl-CoA), peroxisomal	coa[x] + 3odcoa[x]  -> accoa[x] + occoa[x] 	(30.1)	0	  0.00	1000.00	  0.00
ACACT5p	acetyl-CoA C-acyltransferase (decanoyl-CoA), peroxisomal	coa[x] + 3oddcoa[x]  -> accoa[x] + dcacoa[x] 	(30.1)	0	  0.00	1000.00	  0.00
ACACT6p	acetyl-CoA C-acetyltransferase (dodecanoyl), peroxisomal	coa[x] + 3otdcoa[x]  -> accoa[x] + ddcacoa[x] 	(30.1)	0	  0.00	1000.00	  0.00
ACACT7p	acetyl-CoA acyltransferase (tetradecanoyl-CoA), peroxisomal	coa[x] + 3ohdcoa[x]  -> accoa[x] + tdcoa[x] 	(30.1)	0	  0.00	1000.00	  0.00
ACACtx	acetoacetate intracellular transport unknown mechanism	acac[c]  <=> acac[x] 		1	-1000.00	1000.00	  0.00
ACALDt	acetaldehyde reversible transport	acald[e]  <=> acald[c] 		1	-1000.00	1000.00	  0.00
ACALDtm	acetaldehyde mitochondrial diffusion	acald[m]  <=> acald[c] 		1	-1000.00	1000.00	  0.00
ACALDtx	acetaldehyde peroxisomal diffusion	acald[x]  <=> acald[c] 		1	-1000.00	1000.00	  0.00
ACCOAC	acetyl-CoA carboxylase	atp[c] + hco3[c] + accoa[c]  -> adp[c] + h[c] + pi[c] + malcoa[c] 	(31.1 and 32.1)	0	  0.00	1000.00	  0.00
ACCOACm	Acetyl-Coa carboxylase, beta isoform	accoa[m] + atp[m] + hco3[m]  -> h[m] + adp[m] + malcoa[m] + pi[m] 	(32.1)	0	  0.00	1000.00	  0.00
ACCOAL	acetate-CoA ligase (ADP-forming)	atp[c] + coa[c] + ppa[c]  -> adp[c] + pi[c] + ppcoa[c] 	(55902.1) or (55902.2)	0	  0.00	1000.00	  0.00
ACCOAtr	acetyl-coa transport	accoa[c]  <=> accoa[r] 	(9197.1)	1	-1000.00	1000.00	  0.00
ACETONEt2	acetone transport via proton symport	h[e] + acetone[e]  <=> h[c] + acetone[c] 	(6566.1) or (9123.1) or (9194.1)	1	-1000.00	1000.00	  0.00
ACETONEt2m	acetone mitochondrial transport via proton symport	h[c] + acetone[c]  <=> h[m] + acetone[m] 	(6566.1)	1	-1000.00	1000.00	  0.00
ACGALK	N-acetylgalactosamine kinase	atp[c] + acgal[c]  -> adp[c] + h[c] + acgal1p[c] 		0	  0.00	1000.00	  0.00
ACGALK2	N-acetylgalactosamine kinase (ITP)	acgal[c] + itp[c]  -> h[c] + acgal1p[c] + idp[c] 		0	  0.00	1000.00	  0.00
ACGALtly	N-acetyl-galactosamine lysosomal efflux	acgal[l]  -> acgal[c] 		0	  0.00	1000.00	  0.00
ACGAM2E	N-acetylglucosamine 2-epimerase	acgam[c]  <=> acmana[c] 	(5973.1)	1	-1000.00	1000.00	  0.00
ACGAM6PSi	N-acetylglucosamine-6-phosphate synthase	accoa[c] + gam6p[c]  -> h[c] + coa[c] + acgam6p[c] 	(64841.1)	0	  0.00	1000.00	  0.00
ACGAMK	N-acetylglucosamine kinase	atp[c] + acgam[c]  -> adp[c] + h[c] + acgam6p[c] 	(55577.1)	0	  0.00	1000.00	  0.00
ACGAMPM	phosphoacetylglucosamine mutase	acgam6p[c]  <=> acgam1p[c] 	(5238.1)	1	-1000.00	1000.00	  0.00
ACGAMtly	N-acetyl-glucosamine lysosomal efflux	acgam[l]  -> acgam[c] 		0	  0.00	1000.00	  0.00
ACGPID	N-acetylglucosaminylphosphatidylinositol deacetylase	h2o[c] + acgpail_hs[c]  -> ac[c] + gpail_hs[c] 	(9487.1)	0	  0.00	1000.00	  0.00
ACITL	ATP-Citrate lyase	atp[c] + coa[c] + cit[c]  -> adp[c] + pi[c] + accoa[c] + oaa[c] 	(47.1) or (47.2)	0	  0.00	1000.00	  0.00
ACNAM9PL	N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating)	h2o[c] + acmanap[c] + pep[c]  -> pi[c] + acnamp[c] 	(54187.1)	0	  0.00	1000.00	  0.00
ACNAM9PL2	N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating)	h2o[c] + pep[c] + man6p[c]  -> pi[c] + kdnp[c] 	(54187.1)	0	  0.00	1000.00	  0.00
ACNAMlt	N-acetylneuraminate transport into lysososme	h[c] + acnam[c]  <=> h[l] + acnam[l] 	(26503.1)	1	-1000.00	1000.00	  0.00
ACNAMPH	N-Acetylneuraminate 9-phosphate phosphohydrolase	h2o[c] + acnamp[c]  -> pi[c] + acnam[c] 		0	  0.00	1000.00	  0.00
ACNAMtn	N-acetylneuraminate nuclear import	acnam[c]  -> acnam[n] 		0	  0.00	1000.00	  0.00
ACNMLr	N-Acetylneuraminate lyase (reversible)	acnam[c]  <=> pyr[c] + acmana[c] 		1	-1000.00	1000.00	  0.00
ACOAD10m	acyl-CoA dehydrogenase (2-methylbutanoyl-CoA), mitochondrial	2mbcoa[m] + fad[m]  -> 2mb2coa[m] + fadh2[m] 	(36.1) or (34.1)	0	  0.00	1000.00	  0.00
ACOAD1fm	acyl-CoA dehydrogenase (butanoyl-CoA), mitochondrial	fad[m] + btcoa[m]  -> b2coa[m] + fadh2[m] 	(80724.1) or (36.1) or (35.1) or (34.1) or (84129.1) or (27034.1) or (28976.1)	0	  0.00	1000.00	  0.00
ACOAD8m	acyl-CoA dehydrogenase (isovaleryl-CoA), mitochondrial	fad[m] + ivcoa[m]  -> fadh2[m] + 3mb2coa[m] 	(3712.1)	0	  0.00	1000.00	  0.00
ACOAD9m	acyl-CoA dehydrogenase (isobutyryl-CoA), mitochondrial	fad[m] + ibcoa[m]  -> fadh2[m] + 2mp2coa[m] 	(34.1) or (27034.1)	0	  0.00	1000.00	  0.00
ACOAO7p	acyl-CoA oxidase (hexadecanoyl-CoA), peroxisomal	pmtcoa[x] + o2[x]  -> h2o2[x] + hdd2coa[x] 	(51.1) or (51.2)	0	  0.00	1000.00	  0.00
ACONT	aconitase	cit[c]  <=> icit[c] 	(3658.1) or (48.1)	1	-1000.00	1000.00	  0.00
ACONTm	Aconitate hydratase	cit[m]  <=> icit[m] 	(50.1)	1	-1000.00	1000.00	  0.00
ACP1_FMN_	acid phosphatase (FMN)	h2o[c] + fmn[c]  -> pi[c] + ribflv[c] 	(52.1) or (52.3) or (52.2)	0	  0.00	1000.00	  0.00
ACRNtm	O-acetylcarnintine transport into mitochondria via diffusion	acrn[c]  -> acrn[m] 	(788.1)	0	  0.00	1000.00	  0.00
ACS	acetyl-CoA synthetase	atp[c] + coa[c] + ac[c]  -> amp[c] + ppi[c] + accoa[c] 	(65985.1) or (55902.2) or (55902.1)	0	  0.00	1000.00	  0.00
ACS2	acetyl-CoA synthase (propionate)	atp[c] + coa[c] + ppa[c]  -> amp[c] + ppi[c] + ppcoa[c] 	(55902.1) or (65985.1) or (55902.2)	0	  0.00	1000.00	  0.00
ACt2m	acetate mitochondrial transport via proton symport	h[c] + ac[c]  <=> h[m] + ac[m] 		1	-1000.00	1000.00	  0.00
ACt2r	acetate reversible transport via proton symport	h[e] + ac[e]  <=> h[c] + ac[c] 		1	-1000.00	1000.00	  0.00
ACYP	acylphosphatase	h2o[c] + 13dpg[c]  -> h[c] + pi[c] + 3pg[c] 	(112611.1) or (98.1) or (97.2) or (97.1)	0	  0.00	1000.00	  0.00
ADA	Adenosine deaminase	h2o[c] + h[c] + adn[c]  -> nh4[c] + ins[c] 	(100.1)	0	  0.00	1000.00	  0.00
ADAe	Adenosine deaminase, extracellular	h[e] + h2o[e] + adn[e]  -> ins[e] + nh4[e] 	(100.1)	0	  0.00	1000.00	  0.00
ADCim	Acetoacetate decarboxylation (irreversible), mitochondrial	h[m] + acac[m]  -> co2[m] + acetone[m] 		0	  0.00	1000.00	  0.00
ADEt	adenine reversible transport, cytosol	ade[e]  <=> ade[c] 	(3177.1)	1	-1000.00	1000.00	  0.00
ADK1	adenylate kinase	atp[c] + amp[c]  <=> 2 adp[c] 	(122481.1) or (203.1) or (26289.1) or (26289.2)	1	-1000.00	1000.00	  0.00
ADK1m	adenylate kinase, mitochondrial	atp[m] + amp[m]  <=> 2 adp[m] 	(205.3) or (205.1) or (204.1) or (204.3) or (204.2) or (205.2)	1	-1000.00	1000.00	  0.00
ADK3m	adentylate kinase (GTP)	amp[m] + gtp[m]  <=> adp[m] + gdp[m] 	(50808.1)	1	-1000.00	1000.00	  0.00
ADMDC	adenosylmethionine decarboxylase	h[c] + amet[c]  -> co2[c] + ametam[c] 	(262.1)	0	  0.00	1000.00	  0.00
ADNCYC	adenylate cyclase	atp[c]  -> ppi[c] + camp[c] 	(112.1) or (55811.1) or (109.1) or (112.2) or (114.1) or (108.1) or (113.1) or (107.1) or (196883.1) or (115.1) or (111.1)	0	  0.00	1000.00	  0.00
ADNK1	adenosine kinase	atp[c] + adn[c]  -> adp[c] + h[c] + amp[c] 	(132.1) or (132.2)	0	  0.00	1000.00	  0.00
ADNK1m	adenosine kinase, mitochondrial	atp[m] + adn[m]  -> h[m] + adp[m] + amp[m] 		0	  0.00	1000.00	  0.00
ADNt	adenosine facilated transport in cytosol	adn[e]  <=> adn[c] 	(3177.1) or (2030.1)	1	-1000.00	1000.00	  0.00
ADNtm	adenosine facilated transport in mitochondria	adn[c]  <=> adn[m] 	(2030.1)	1	-1000.00	1000.00	  0.00
ADPRDP	ADPribose diphosphatase	h2o[c] + adprib[c]  -> 2 h[c] + amp[c] + r5p[c] 	(11164.1)	0	  0.00	1000.00	  0.00
ADPT	adenine phosphoribosyltransferase	ade[c] + prpp[c]  -> amp[c] + ppi[c] 	(353.1)	0	  0.00	1000.00	  0.00
ADPtx	ADP transporter, peroxisomal	adp[c]  <=> adp[x] 		1	-1000.00	1000.00	  0.00
ADRNCOAtx	fatty acid intracellular transport	adrncoa[c]  <=> adrncoa[x] 		1	-1000.00	1000.00	  0.00
ADRNCPT1	carnitine O-palmitoyltransferase	adrncoa[c] + crn[c]  -> coa[c] + adrncrn[c] 	(1375.1) or (1375.3) or (1375.4) or (126129.1) or (1374.1) or (1375.2)	0	  0.00	1000.00	  0.00
ADRNCPT2	carnitine transferase	coa[m] + adrncrn[m]  -> adrncoa[m] + crn[m] 	(1376.1)	0	  0.00	1000.00	  0.00
ADRNCRNt	transport into the mitochondria (carnitine)	adrncrn[c]  -> adrncrn[m] 	(788.1) or (788.1)	0	  0.00	1000.00	  0.00
ADRNt	fatty acid transport via diffusion	adrn[e]  <=> adrn[c] 		1	-1000.00	1000.00	  0.00
ADSK	adenylyl-sulfate kinase	atp[c] + aps[c]  -> adp[c] + h[c] + paps[c] 	(9060.1) or (9061.1)	0	  0.00	1000.00	  0.00
